LP.;Data;Typ instrumentu;Nazwa;ISIN;Kurs otwarcia;Kurs maksymalny;Kurs minimalny;Kurs zamkniecia;Zmiana;Wolumen obrotu;Liczba transakcji;Wartosc obrotu w tys. zl;Liczba otwartych pozycji;Wartosc otwartych pozycji w mln zl;Cena nominalna obligacji;Waluta
1;2013-01-22;1;WIG20;PL9999999987;2581,16;2584,11;2557,5;2566,6;-0,27;0;0;577733,24;0;0;0;   
2;2013-01-23;1;WIG20;PL9999999987;2552,99;2573,61;2547,14;2558,39;-0,32;0;0;1424322,4;0;0;0;   
3;2013-01-24;1;WIG20;PL9999999987;2561,17;2571,24;2549,45;2568,63;0,4;0;0;1237460,63;0;0;0;   
4;2013-01-25;1;WIG20;PL9999999987;2571,7;2576,66;2533,01;2542,32;-1,02;0;0;780285,97;0;0;0;   
5;2013-01-28;1;WIG20;PL9999999987;2534,4;2539,89;2511,5;2521,5;-0,82;0;0;600083,18;0;0;0;   
6;2013-01-29;1;WIG20;PL9999999987;2525,08;2525,22;2503,97;2524,36;0,11;0;0;561039,79;0;0;0;   
7;2013-01-30;1;WIG20;PL9999999987;2501,65;2524,19;2490,37;2496,15;-1,12;0;0;1647720,89;0;0;0;   
8;2013-01-31;1;WIG20;PL9999999987;2499;2503,27;2480,56;2492,76;-0,14;0;0;1486248,73;0;0;0;   
9;2013-02-01;1;WIG20;PL9999999987;2497,28;2507,45;2493,77;2499,19;0,26;0;0;620684,29;0;0;0;   
10;2013-02-04;1;WIG20;PL9999999987;2511,9;2520,16;2469,73;2469,73;-1,18;0;0;799059,58;0;0;0;   
11;2013-02-05;1;WIG20;PL9999999987;2475,86;2485,25;2473,16;2485,25;0,63;0;0;639054,95;0;0;0;   
12;2013-02-06;1;WIG20;PL9999999987;2491,04;2494,26;2455,47;2455,47;-1,2;0;0;778340,88;0;0;0;   
13;2013-02-07;1;WIG20;PL9999999987;2458,97;2487,42;2454,2;2467,45;0,49;0;0;727054,61;0;0;0;   
14;2013-02-08;1;WIG20;PL9999999987;2481,34;2500,4;2476,37;2495,42;1,13;0;0;655128,38;0;0;0;   
15;2013-02-11;1;WIG20;PL9999999987;2501,76;2508,47;2489,69;2497,88;0,1;0;0;391888,22;0;0;0;   
16;2013-02-12;1;WIG20;PL9999999987;2492,42;2513,11;2462,43;2470,48;-1,1;0;0;857993,3;0;0;0;   
17;2013-02-13;1;WIG20;PL9999999987;2470,45;2480,63;2462,69;2471,21;0,03;0;0;510746,53;0;0;0;   
18;2013-02-14;1;WIG20;PL9999999987;2471,87;2476,36;2443,87;2456,36;-0,6;0;0;591913,84;0;0;0;   
19;2013-02-15;1;WIG20;PL9999999987;2448,93;2474,63;2443,72;2467,63;0,46;0;0;485652,54;0;0;0;   
20;2013-02-18;1;WIG20;PL9999999987;2475,15;2485,03;2473,66;2476,01;0,34;0;0;367314,45;0;0;0;   
21;2013-02-19;1;WIG20;PL9999999987;2476,62;2493,83;2470,95;2477,19;0,05;0;0;503365,18;0;0;0;   
22;2013-02-20;1;WIG20;PL9999999987;2468,93;2476,67;2438,72;2443,16;-1,37;0;0;584611,5;0;0;0;   
23;2013-02-21;1;WIG20;PL9999999987;2432,27;2436,47;2407,65;2436,47;-0,27;0;0;815244,48;0;0;0;   
24;2013-02-22;1;WIG20;PL9999999987;2438,8;2441,02;2423,74;2437,24;0,03;0;0;472196,97;0;0;0;   
25;2013-02-25;1;WIG20;PL9999999987;2440,83;2466,39;2433,7;2454,92;0,73;0;0;624672,83;0;0;0;   
26;2013-02-26;1;WIG20;PL9999999987;2421,67;2433,03;2420,82;2428,57;-1,07;0;0;678005,95;0;0;0;   
27;2013-02-27;1;WIG20;PL9999999987;2439,27;2450,36;2431,56;2450,36;0,9;0;0;691085,24;0;0;0;   
28;2013-02-28;1;WIG20;PL9999999987;2458,75;2462,32;2443,26;2452,01;0,07;0;0;1032442,51;0;0;0;   
29;2013-03-01;1;WIG20;PL9999999987;2441,18;2453,03;2428,72;2452,86;0,03;0;0;950408,08;0;0;0;   
30;2013-03-04;1;WIG20;PL9999999987;2440,98;2445,8;2432,2;2438,97;-0,57;0;0;601019,77;0;0;0;   
31;2013-03-05;1;WIG20;PL9999999987;2450,45;2477,68;2450,16;2477,68;1,59;0;0;753622,79;0;0;0;   
32;2013-03-06;1;WIG20;PL9999999987;2482,25;2498,61;2477,94;2481,36;0,15;0;0;850284,49;0;0;0;   
33;2013-03-07;1;WIG20;PL9999999987;2478,96;2485;2471,46;2474,7;-0,27;0;0;494314,75;0;0;0;   
34;2013-03-08;1;WIG20;PL9999999987;2485,48;2505,66;2480,86;2490,7;0,65;0;0;652553,5;0;0;0;   
35;2013-03-11;1;WIG20;PL9999999987;2491,79;2494,14;2476,03;2479,2;-0,46;0;0;446381,73;0;0;0;   
36;2013-03-12;1;WIG20;PL9999999987;2480,19;2486,86;2473,77;2482,39;0,13;0;0;438552,77;0;0;0;   
37;2013-03-13;1;WIG20;PL9999999987;2478,34;2484,37;2467,99;2473,95;-0,34;0;0;890259,89;0;0;0;   
38;2013-03-14;1;WIG20;PL9999999987;2471,85;2510,5;2470,73;2498,84;1,01;0;0;915059,13;0;0;0;   
39;2013-03-15;1;WIG20;PL9999999987;2513,49;2518,12;2484,55;2486,3;-0,5;0;0;1964127,9;0;0;0;   
40;2013-03-18;1;WIG20;PL9999999987;2458,58;2468,03;2439,52;2453,9;-1,3;0;0;706129,14;0;0;0;   
41;2013-03-19;1;WIG20;PL9999999987;2450,53;2455,39;2419,94;2421,94;-1,3;0;0;579515,21;0;0;0;   
42;2013-03-20;1;WIG20;PL9999999987;2428,64;2440,66;2420,21;2422,61;0,03;0;0;781046,67;0;0;0;   
