"Date" "WIG20" "DAX" "DJI"
"2006-01-03" 2749.46 5460.68 10847.4
"2006-01-04" 2829.38 5523.62 10880.2
"2006-01-05" 2825.71 5516.52 10882.2
"2006-01-06" 2854.25 5536.31 10959.3
"2006-01-09" 2835.53 5537.1 11011.9
"2006-01-10" 2797.09 5494.71 11011.6
"2006-01-11" 2850.35 5532.89 11043.4
"2006-01-12" 2833.16 5542.12 10962.4
"2006-01-13" 2785.54 5483.08 10959.9
"2006-01-17" 2831.09 5460.16 10896.3
"2006-01-18" 2808.8 5395.6 10854.9
"2006-01-19" 2886.48 5430.83 10880.7
"2006-01-20" 2909.77 5349.02 10667.4
"2006-01-23" 2903.69 5348.72 10688.8
"2006-01-24" 2907.05 5334.29 10712.2
"2006-01-25" 2953.72 5427.08 10709.7
"2006-01-26" 2923.61 5548.91 10809.5
"2006-01-27" 2937.66 5647.41 10907.2
"2006-01-30" 2937.92 5660.02 10899.9
"2006-01-31" 2804.92 5674.14 10864.9
"2006-02-01" 2823.09 5726.53 10954
"2006-02-02" 2819.26 5649.6 10852
"2006-02-03" 2760.65 5657.12 10793.6
"2006-02-06" 2837.48 5666.77 10798.3
"2006-02-07" 2852.57 5672.91 10749.8
"2006-02-08" 2828.54 5666.41 10858.6
"2006-02-09" 2840.24 5743.68 10883.3
"2006-02-10" 2791.75 5701.47 10919
"2006-02-13" 2768.02 5756.33 10892.3
"2006-02-14" 2790.37 5763.39 11028.4
"2006-02-15" 2813.91 5764.37 11059
"2006-02-16" 2762.93 5789.25 11120.7
"2006-02-17" 2859.61 5795.48 11115.3
"2006-02-21" 2897.71 5801.04 11069
"2006-02-22" 2896.04 5862.06 11137.2
"2006-02-23" 2899.8 5857.87 11069.2
"2006-02-24" 2941.38 5870.79 11061.8
"2006-02-27" 2955.74 5915.14 11097.5
"2006-02-28" 2836.51 5796.04 10993.4
"2006-03-01" 2876.12 5866.6 11053.5
"2006-03-02" 2904.62 5783.49 11025.5
"2006-03-03" 2886.51 5721.46 11021.6
"2006-03-06" 2908.82 5754.06 10958.6
"2006-03-07" 2842.63 5739.27 10980.7
"2006-03-08" 2769.73 5673.35 11005.7
"2006-03-09" 2776.08 5732.22 10972.3
"2006-03-10" 2757.95 5804.91 11076.3
"2006-03-13" 2759.41 5855.16 11076
"2006-03-14" 2727.77 5870.87 11151.3
"2006-03-15" 2773.21 5898.48 11209.8
"2006-03-16" 2833.52 5897.79 11253.2
"2006-03-17" 2831.34 5882.37 11279.7
"2006-03-20" 2826.05 5902.79 11274.5
"2006-03-21" 2806.52 5911.85 11235.5
"2006-03-22" 2791.97 5932.31 11317.4
"2006-03-23" 2836.91 5947.1 11270.3
"2006-03-24" 2847.82 5973.14 11280
"2006-03-27" 2874.58 5912.25 11250.1
"2006-03-28" 2830.39 5890.62 11154.5
"2006-03-29" 2827.22 5914.77 11215.7
"2006-03-30" 2864.53 5984.18 11150.7
"2006-03-31" 2864.83 5970.08 11109.3
"2006-04-03" 2912.05 6024.04 11144.9
"2006-04-04" 2918.07 6013.85 11203.8
"2006-04-05" 2899.24 6029.2 11239.5
"2006-04-06" 2921.21 6031.39 11216.5
"2006-04-07" 2974.21 5952.91 11120
"2006-04-10" 2987.89 6003.39 11141.3
"2006-04-11" 2970.61 5908.47 11089.6
"2006-04-12" 2998.18 5901.25 11130
"2006-04-13" 3023.69 5918.56 11137.7
"2006-04-18" 3081.25 5902.58 11268.8
"2006-04-19" 3070.81 5993.75 11278.8
"2006-04-20" 3149.33 6063.27 11342.9
"2006-04-21" 3185.67 6094.75 11347.5
"2006-04-24" 3229.22 6079.09 11336.3
"2006-04-25" 3220.83 6078.79 11283.2
