Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,2.59,2.8,2.59,2.66,3020
2015-01-05,2.8,2.8,2.52,2.73,3572
2015-01-07,2.73,2.73,2.45,2.73,1250
2015-01-08,2.73,2.73,2.38,2.66,3302
2015-01-09,2.52,2.59,2.52,2.59,286
2015-01-12,2.66,2.66,2.31,2.52,8818
2015-01-13,2.52,2.59,2.1,2.1,10786
2015-01-14,2.1,2.52,1.89,2.17,36495
2015-01-15,2.1,2.24,1.82,2.17,15274
2015-01-16,2.1,2.17,1.89,1.96,2986
2015-01-19,1.4,1.61,1.26,1.33,35801
2015-01-20,1.4,1.68,1.4,1.68,8965
2015-01-21,1.75,2.1,1.75,1.96,36728
2015-01-22,1.96,2.03,1.61,1.75,23785
2015-01-23,1.82,1.89,1.54,1.61,18329
2015-01-26,1.61,1.61,1.4,1.4,15816
2015-01-27,1.61,1.61,1.33,1.47,1284
2015-01-28,1.4,1.47,1.4,1.4,1151
2015-01-29,1.4,1.4,1.4,1.4,36
2015-01-30,1.4,1.4,1.4,1.4,402
2015-02-02,1.61,1.61,1.4,1.61,2426
2015-02-03,1.61,1.61,1.61,1.61,40
2015-02-04,1.68,1.68,1.4,1.47,2536
2015-02-05,1.47,1.61,1.05,1.4,80828
2015-02-06,1.4,1.54,1.26,1.26,86875
2015-02-09,1.33,1.33,1.19,1.26,16213
2015-02-10,1.26,1.26,1.26,1.26,7386
2015-02-11,1.26,1.33,1.19,1.33,4045
2015-02-12,1.33,1.33,1.12,1.12,4589
2015-02-13,1.12,1.12,0.91,0.98,18254
2015-02-16,0.91,1.12,0.77,0.91,91024
2015-02-17,0.84,1.05,0.84,1.05,14268
2015-02-18,1.05,1.12,0.84,0.84,26340
2015-02-19,0.98,0.98,0.91,0.98,9311
2015-02-20,0.98,1.26,0.98,1.19,37044
2015-02-23,1.19,1.33,1.05,1.26,64988
2015-02-24,1.19,1.26,1.19,1.26,4443
2015-02-25,1.19,1.26,1.05,1.12,4608
2015-02-26,1.19,1.33,1.12,1.26,23439
2015-02-27,1.12,1.33,1.12,1.19,10301
2015-03-02,1.19,1.19,1.05,1.19,2757
2015-03-03,1.12,1.26,1.12,1.26,2179
2015-03-04,1.26,1.26,1.05,1.05,3221
2015-03-05,0.98,1.19,0.98,1.19,2338
2015-03-06,1.19,1.19,0.98,1.12,8182
2015-03-09,1.19,1.19,1.05,1.05,2862
2015-03-10,0.98,1.12,0.98,1.12,5796
2015-03-11,1.12,1.12,1.05,1.05,3350
2015-03-12,1.05,1.26,1.05,1.19,16097
2015-03-13,1.19,1.26,1.12,1.19,8524
2015-03-16,1.19,1.4,1.19,1.4,14549
2015-03-17,1.4,1.82,1.4,1.68,100387
2015-03-18,1.68,1.75,1.54,1.61,55952
2015-03-19,1.75,2.31,1.75,2.1,97133
2015-03-20,2.17,2.31,2.03,2.31,59087
2015-03-23,2.38,2.52,2.24,2.31,45853
2015-03-24,2.24,2.24,2.03,2.1,32994
2015-03-25,2.1,2.1,1.96,2.03,8764
2015-03-26,2.03,2.1,1.96,1.96,7684
2015-03-27,1.96,1.96,1.75,1.89,36873
2015-03-30,1.89,2.17,1.82,2.1,26362
2015-03-31,2.03,2.1,1.82,1.82,23513
2015-04-01,1.96,2.59,1.96,2.52,80342
2015-04-02,2.52,2.52,2.31,2.45,40422
2015-04-07,2.45,2.45,2.1,2.31,19741
2015-04-08,2.31,3.5,2.17,3.5,187431
2015-04-09,3.5,3.78,2.73,2.73,597515
2015-04-10,2.59,2.87,2.45,2.8,175584
2015-04-13,2.8,3.15,2.73,3.08,121447
2015-04-14,3.08,3.08,2.66,2.87,132204
2015-04-15,2.87,3.36,2.73,3.08,122856
2015-04-16,3.08,3.15,2.8,2.87,90444
2015-04-17,2.8,2.87,2.66,2.8,63868
2015-04-20,2.8,2.87,2.73,2.8,39742
2015-04-21,2.8,2.8,2.59,2.73,15500
2015-04-22,2.73,2.73,2.59,2.59,6842
2015-04-23,2.52,2.59,2.31,2.45,62373
2015-04-24,2.52,2.73,2.31,2.59,26752
2015-04-27,2.45,3.15,2.45,2.87,168021
2015-04-28,2.87,2.94,2.52,2.52,117168
2015-04-29,2.66,2.66,2.1,2.45,151504
2015-04-30,2.45,2.59,2.31,2.38,63172
2015-05-04,2.38,2.52,2.24,2.38,61119
2015-05-05,2.52,2.59,2.1,2.17,69845
2015-05-06,2.17,2.17,1.82,1.96,225084
