Year	France	Germany Italy	Spain	United Kingdom
1970	12470	13941	10181	5017	11670
1975	15520	17898	15060	6157	13949
1979	18440	22535	17073	7058	15189
1980	19130	23192	17686	7557	15619
1981	19750	23731	18603	7943	15822
1982	20300	24105	19616	8354	16282
1983	20600	24580	20389	8714	16612
1984	20800	25218	20888	8874	17213
1985	21090	25845	22495	9274	17737
1986	21500	26917	23495	9643	18355
1987	21970	27908	24320	10219	18859
1988	22520	28878	25290	10787	19940
1989	23010	29755	26267	11468	20925
1990	23550	30685	27416	11996	20722
1991	23810	31322	28519	12537	20760
